"","PCT-C-0000","PCT-C-0000","PCT-C-0000","PCT-C-0000","PCT-C-0075","PCT-C-0075","PCT-C-0075","PCT-C-0075","PCT-C-0125","PCT-C-0125","PCT-C-0125","PCT-C-0125","PCT-C-0250","PCT-C-0250","PCT-C-0250","PCT-C-0250","PCT-C-0500","PCT-C-0500","PCT-C-0500","PCT-C-0500","PCT-C-1000","PCT-C-1000","PCT-C-1000","PCT-C-1000","PCT-C-2000","PCT-C-2000","PCT-C-2000","PCT-C-2000","PCT-C-4000","PCT-C-4000","PCT-C-4000","PCT-C-4000","PCT-N-0000","PCT-N-0000","PCT-N-0000","PCT-N-0000","PCT-N-0075","PCT-N-0075","PCT-N-0075","PCT-N-0075","PCT-N-0125","PCT-N-0125","PCT-N-0125","PCT-N-0125","PCT-N-0250","PCT-N-0250","PCT-N-0250","PCT-N-0250","PCT-N-0500","PCT-N-0500","PCT-N-0500","PCT-N-0500","PCT-N-1000","PCT-N-1000","PCT-N-1000","PCT-N-1000","PCT-N-2000","PCT-N-2000","PCT-N-2000","PCT-N-2000","PCT-N-4000","PCT-N-4000","PCT-N-4000","PCT-N-4000","PCT-S-0000","PCT-S-0000","PCT-S-0000","PCT-S-0000","PCT-S-0075","PCT-S-0075","PCT-S-0075","PCT-S-0075","PCT-S-0125","PCT-S-0125","PCT-S-0125","PCT-S-0125","PCT-S-0250","PCT-S-0250","PCT-S-0250","PCT-S-0250","PCT-S-0500","PCT-S-0500","PCT-S-0500","PCT-S-0500","PCT-S-1000","PCT-S-1000","PCT-S-1000","PCT-S-1000","PCT-S-2000","PCT-S-2000","PCT-S-2000","PCT-S-2000","PCT-S-4000","PCT-S-4000","PCT-S-4000","PCT-S-4000"
"DUP_1",97594,106184,127648,90250,48819,85286,117553,89337,24991,19502,41335,19799,88975,57660,81028,72119,105488,50647,64694,60766,228819,227724,146706,253980,197787,134173,173672,261576,78654,57386,48708,94482,4165,6804,6819,8188,51609,43501,24858,53626,27721,16174,29922,14131,88060,104851,44421,88899,18365,14318,32992,17253,99735,63026,98997,117199,56653,66259,49417,67367,7267,4894,4815,3098,200927,110228,155400,155059,113024,104345,76738,104629,163182,82436,180526,146326,87168,187517,238560,146401,37942,53225,37597,54480,89381,45062,47153,86617,54249,27431,26811,44830,30098,66334,53059,65389
"DUP_2",21743,24585,29221,18189,30445,51058,56911,47570,94469,68781,129946,72094,76,28,0,21,38109,39216,46254,43965,111805,109268,72888,124051,279993,183455,238658,350095,28361,20360,14666,28548,36243,60267,62665,67017,163676,143369,83764,187661,156707,82751,167106,79730,47115,52707,24620,51418,127980,90536,188655,116288,132041,84974,121800,151380,100,61,11,16,34790,23524,27585,17264,3773,1822,3104,3282,39077,35934,27536,36654,43153,22695,52934,41513,23177,40825,44771,35611,41301,48074,31396,49301,74324,32022,34344,66526,12464,5701,6036,11024,3,6,3,2
"DUP_3",49527,52398,66190,48430,0,12,2,2,4,4,4,0,33,75,0,2,67551,2,1,1,2,0,6,2,0,2,0,1,88,71,61,106,1,13,1,0,21303,15960,9103,21045,8,3,2,13,1,0,3,2,39,0,4,0,4145,2784,3245,3820,1,3,1,13,24,29,0,6,10927,5736,6393,6819,17625,16080,12014,15411,24474,13172,29007,22390,2069,3933,4801,3326,28046,42437,31347,44717,25,0,2,1,16,3,2,2,0,3,3,0
"DUP_4",0,0,0,0,1260,2115,2146,1697,1040,788,1333,769,14394,9166,11229,10779,2419,2285,2634,2350,1439,1509,1120,1835,0,0,1,0,396603,318046,211016,461559,1435,2334,2319,2096,240,304,169,443,15,2,3,1,125189,140322,67256,128192,151202,100948,212525,137858,2815,2222,2903,4674,3,0,0,1,75,0,1,0,6,0,0,0,0,0,0,0,195,111,241,82,29,0,0,0,11418,11836,8147,12969,0,1,0,0,182323,88750,82671,158991,0,0,0,0
"DUP_7",58552,61387,77554,57168,0,3,1,0,260,190,435,172,43,0,0,2,46342,1,0,0,187,183,143,198,0,7,0,4,1,0,2,2,0,3,4,0,49,32,24,53,144,68,127,56,0,2,3,1,0,0,0,0,1,1,3,2,0,2,1,1,11,0,3,4,55892,31958,44098,43107,13945,12556,9491,12395,8,8,6,0,5391,11589,13902,8910,0,0,11,4,226,60,67,150,47,1,0,3,1,2,3,3
"DUP_8",1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28,0,5,40,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,1,0,4,0,0,6,0,0,0,3,0,0,0,0,0,3,0,2,0,3,8,0,0,0,0,0,0,0,0,0,0,4
"DUP_9",3505,3846,4883,3208,379,688,934,623,1168,954,2113,1006,22,3,1,6,7350,1681,1994,2006,7298,6932,5032,8202,10628,7475,9347,14562,18143,13369,10975,21126,16135,27038,27570,32200,4448,3790,2171,4620,13884,7812,15318,7128,3468,4030,1745,3637,3114,2312,5500,3076,9198,5932,10182,11917,294,312,227,324,1897,1257,1290,843,2,3,0,42,16710,15484,11480,15366,15442,8299,18332,14234,10909,22472,28050,18082,8371,11191,8035,11689,15114,7265,7655,14456,113,56,65,93,5493,11603,9445,11536
"DUP_10",7566,8521,10774,6584,2573,4107,4263,3390,0,1,2,1,37,32,0,0,1066,1261,1311,1294,6905,7009,5920,8115,21,0,2,0,2438,1762,1396,2487,15066,25466,26114,28566,1619,1552,877,1855,1,0,1,1,3098,3446,1682,3776,2438,1660,4049,2556,2682,2011,3204,4197,9010,9000,7300,10955,100,71,76,50,6,13,0,1,572,448,461,542,3313,1839,4049,2654,5107,9141,9987,8151,16423,18620,13664,20963,3663,1489,1588,3213,8,1,2,0,26,117,106,124
"DUP_11",2332,2632,3010,2203,1,0,0,3,0,0,1,0,18,154,1,0,4,0,1,0,0,3,2,0,2,0,0,0,1,0,0,27,1,0,6,1,1,0,0,1,0,0,0,0,5,2,0,4,260,150,424,248,1297,1075,1699,2133,0,4,0,0,2,1,0,0,5,2,0,1,8,2,0,0,0,11,0,0,0,5,0,0,2,0,0,2,5529,2285,2488,4904,31,1,1,2,0,0,0,1
"DUP_12",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,12,3,0,335923,265764,210398,164839,0,0,0,0,0,0,0,1,13,3,0,0,0,0,0,0,0,0,0,8,1,0,42,0,10,0,14,7,0,0,0,0
