taxon_name,taxon_rank,adult_habitat,habitat_selectivity,range_gamete_km,range_larva_km,range_adult_km,size_adult_cm,higher_group,known_to_puget_sound
Mytilidae,family,intertidal_rocky,1,10,10,0,5,NA,1
Sessilia,order,intertidal_rocky,1,0,10,0,1,NA,1
Embiotocidae,family,seagrass,0.5,0,0,1,10,Actinopterygii,1
Suidae,family,terrestrial,1,0,0,0,200,Mammalia,1
Hominidae,family,terrestrial,1,0,0,0,200,Primates,1
Phasianidae,family,terrestrial,1,0,0,0,100,Galliformes,1
Limapontiidae,family,marine,1,1,10,0,1,Sacoglossa,1
Percomorphaceae,below-infraclass,multiple,0,multiple,multiple,multiple,multiple,Actinopterygii,1
Euphausiidae,family,pelagic,1,1,10,10,1,NA,1
Epialtidae,family,bottom,1,0,10,1,10,Brachyura,1
Veneridae,family,soft_bottom,1,10,10,0,10,NA,1
Echinoidea,class,marine,1,10,10,1,10,NA,1
Podonidae,family,pelagic,0,10,10,10,0.001,Cladocera,NA
Diptera,order,terrestrial,1,0,0,10,1,Insecta,1
Skeneidae,family,marine,1,10,10,0,0.1,Trochoidea,NA
Enteropneusta,class,marine,1,10,10,0,10,Hemichordata,1
Myidae,family,soft_bottom,1,10,10,0,10,NA,1
Tellinidae,family,soft_bottom,1,10,10,0,10,NA,1
Teleostei,infraclass,multiple,multiple,multiple,multiple,multiple,multiple,NA,1
Nemertea,phylum,marine,1,multiple,multiple,0,10,NA,1
Bryozoa,phylum,marine,1,multiple,multiple,0,10,NA,1
Hiatellidae,family,hard_bottom,1,10,10,0,5,Bivalvia,1
Amphiuridae,family,marine,1,unknown,unknown,0,10,Ophiuroidea,1
Placobranchidae,family,marine,1,1,10,0,1,Sacoglossa,1
Clupeocephala,below-infraclass,multiple,multiple,multiple,multiple,multiple,multiple,Actinopterygii,1
Stichopodidae,family,marine,1,10,10,1,50,Holothuroidea,1
Sebastidae,family,marine,1,0,1,1,50,Scorpaeniformes,1
Solecurtidae,family,soft_bottom,1,10,10,0,10,Veneroida,NA
Solenidae,family,soft_bottom,1,10,10,0,10,Veneroida,1
Lottiidae,family,hard_bottom,1,10,10,0,1,Gastropoda,1
Phocidae,family,pelagic,1,0,0,10,200,Mammalia,1
Syngnathidae,family,bottom,1,0,1,1,1,Syngnathiformes,1
Solariellidae,family,marine,1,10,10,0,0.1,Vetigastropoda,NA
