filename total_seq 12SF 12SR 16SF 16SR
1-GATCAG_S1_R1_001.fastq 8212305 3904524 3958755 2351 2221
1-GATCAG_S1_R2_001.fastq 8212305 3877396 3841528 1729 1542
2-ACAGTG-_S2_R1_001.fastq 13510803 6429521 6604990 1178 1109
2-ACAGTG-_S2_R2_001.fastq 13510803 6436780 6324375 1007 1051
3-GCCAAT_S3_R1_001.fastq 8701400 4144384 4203059 1406 1337
3-GCCAAT_S3_R2_001.fastq 8701400 4117772 4075082 1274 1356
4-CTTGTA_S4_R1_001.fastq 7585362 3611571 3637036 1168 1057
4-CTTGTA_S4_R2_001.fastq 7585362 3574361 3538160 870 873
A-sp-GTGAAA_S5_R1_001.fastq 12867701 381 489 6192537 5962928
A-sp-GTGAAA_S5_R2_001.fastq 12867701 367 340 5867868 6146398
B-sp-sp-TAGCTT_S6_R1_001.fastq 14696235 165 219 7056563 6797829
B-sp-sp-TAGCTT_S6_R2_001.fastq 14696235 179 149 6675964 7037875
C-sp-sp-TCCCGA_S7_R1_001.fastq 15268976 274 281 7343327 7013202
C-sp-sp-TCCCGA_S7_R2_001.fastq 15268976 228 243 6891097 7308287
D-ATTCCT_S8_R1_001.fastq 8359615 29 51 4024488 3851810
D-ATTCCT_S8_R2_001.fastq 8359615 31 23 3783791 4000588
E-sp-CCGTCC_S9_R1_001.fastq 9874872 146 167 4747568 4562257
E-sp-CCGTCC_S9_R2_001.fastq 9874872 143 139 4479956 4725272
F-CTATAC_S10_R1_001.fastq 13539359 367 352 6496023 6281816
F-CTATAC_S10_R2_001.fastq 13539359 200 251 6176009 6463943
G-sp-sp-AGTCAA_S11_R1_001.fastq 8096639 477 497 3889831 3731027
G-sp-sp-AGTCAA_S11_R2_001.fastq 8096639 238 287 3663573 3864284
H-GTTTCG_S12_R1_001.fastq 15710078 461 545 7521488 7279505
H-GTTTCG_S12_R2_001.fastq 15710078 450 413 7157237 7469271
J-sp-CAACTA_S13_R1_001.fastq 15081652 5095 4799 7208436 6966324
J-sp-CAACTA_S13_R2_001.fastq 15081652 2394 3677 6844535 7159225
K-sp-sp-GGTAGC_S14_R1_001.fastq 14113871 228 307 6747796 6551064
K-sp-sp-GGTAGC_S14_R2_001.fastq 14113871 216 179 6436442 6692700
Undetermined_S0_R1_001.fastq 20169227 486444 502778 1824590 1755625
Undetermined_S0_R2_001.fastq 20169227 345906 345435 1279841 1314615
