"query_seq","Nhits","N_taxid_all","beste","Nhits_beste","N_taxid_beste","LCA_name_all","LCA_rank_all","LCA_id_all","LCA_name_beste","LCA_rank_beste","LCA_id_beste","class_all","order_all","family_all","class_beste","order_beste","family_beste","query_abundance"
"DUP_1;size=25344991",12,2,4.74e-52,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",25344991
"DUP_10;size=2984128",2,1,1.73e-51,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",2984128
"DUP_100;size=102133",4,4,2.92e-24,2,2,"Mactridae","family","6581","Tresus","genus","31207","Bivalvia","Veneroida","Mactridae","Bivalvia","Veneroida","Mactridae",102133
"DUP_10022;size=322",116,55,4.88e-32,17,7,"Protostomia","below-kingdom","33317","Thoracica","superorder","6676",NA,NA,NA,"Maxillopoda",NA,NA,322
"DUP_1004;size=6313",6,2,4.74e-52,6,2,"Epialtidae","family","516942","Epialtidae","family","516942","Malacostraca","Decapoda","Epialtidae","Malacostraca","Decapoda","Epialtidae",6313
"DUP_10058;size=285",4,4,4.91e-27,2,2,"Tellinoidea","superfamily","98297","Soletellina","genus","1125680","Bivalvia","Veneroida",NA,"Bivalvia","Veneroida","Psammobiidae",285
"DUP_10065;size=405",36,28,2.78e-33,36,28,"Sessilia","order","116167","Sessilia","order","116167","Maxillopoda","Sessilia",NA,"Maxillopoda","Sessilia",NA,405
"DUP_1008;size=6688",2,1,1.72e-46,2,1,"Saxidomus purpuratus","species","311201","Saxidomus purpuratus","species","311201","Bivalvia","Veneroida","Veneridae","Bivalvia","Veneroida","Veneridae",6688
"DUP_10094;size=594",13,10,6.18e-46,8,6,"Lottioidea","superfamily","216260","Lottia","genus","72691","Gastropoda",NA,NA,"Gastropoda",NA,"Lottiidae",594
"DUP_101;size=90257",1,1,4.74e-52,1,1,"Pugettia producta","species","504418","Pugettia producta","species","504418","Malacostraca","Decapoda","Epialtidae","Malacostraca","Decapoda","Epialtidae",90257
"DUP_10112;size=325",1,1,3.73e-33,1,1,"Pinguitellina sp. Mo77439","species","1230584","Pinguitellina sp. Mo77439","species","1230584","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",325
"DUP_10116;size=419",25,17,2.22e-45,23,17,"Eupercaria","below-infraclass","1489922","Eupercaria","below-infraclass","1489922","Actinopteri",NA,NA,"Actinopteri",NA,NA,419
"DUP_10147;size=430",40,25,1.33e-47,3,1,"Gnathostomata","below-subphylum","7776","Apristurus brunneus","species","428037",NA,NA,NA,"Chondrichthyes","Carcharhiniformes","Scyliorhinidae",430
"DUP_10168;size=317",6,2,6.1e-46,5,1,"Savignium","genus","32270","Savignium crenatum","species","32271","Maxillopoda","Sessilia","Pyrgomatidae","Maxillopoda","Sessilia","Pyrgomatidae",317
"DUP_1017;size=5399",58,8,2.25e-35,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",5399
"DUP_1019;size=6560",109,40,2.21e-50,52,9,"Laurasiatheria","superorder","314145","Cetacea","order","9721","Mammalia",NA,NA,"Mammalia","Cetacea",NA,6560
"DUP_1022;size=7424",22,15,4.91e-27,2,2,"Eumetazoa","below-kingdom","6072","Caenogastropoda","below-class","69555",NA,"Limnomedusae",NA,"Gastropoda",NA,NA,7424
"DUP_10223;size=310",1,1,1.03e-48,1,1,"Apostichopus japonicus","species","307972","Apostichopus japonicus","species","307972","Holothuroidea","Aspidochirotida","Stichopodidae","Holothuroidea","Aspidochirotida","Stichopodidae",310
"DUP_10225;size=270",3,2,6.35e-26,3,2,"Modiolus","genus","40255","Modiolus","genus","40255","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",270
"DUP_1029;size=6941",19,9,2.21e-50,3,1,"Teleostei","infraclass","32443","Rexea bengalensis","species","1723714","Actinopteri",NA,NA,"Actinopteri","Scombriformes","Gempylidae",6941
"DUP_103;size=80621",18,12,2.21e-50,2,2,"Lottioidea","superfamily","216260","Lottiidae","family","69676","Gastropoda",NA,NA,"Gastropoda",NA,"Lottiidae",80621
"DUP_10320;size=324",2,2,2.25e-35,1,1,"Tubulanidae","family","166029","Callinera kasyanovi","species","1683865","Palaeonemertea",NA,"Tubulanidae","Palaeonemertea",NA,"Tubulanidae",324
"DUP_10345;size=292",3,2,3.73e-33,3,2,"Solecurtidae","family","282291","Solecurtidae","family","282291","Bivalvia","Veneroida","Solecurtidae","Bivalvia","Veneroida","Solecurtidae",292
"DUP_10362;size=345",23,21,2.85e-49,18,17,"Asteroidea","class","7588","Asteroidea","class","7588","Asteroidea",NA,NA,"Asteroidea",NA,NA,345
"DUP_10379;size=299",1,1,2.67e-25,1,1,"uncultured virus","species","340016","uncultured virus","species","340016",NA,NA,NA,NA,NA,NA,299
"DUP_10402;size=271",7,1,6.31e-31,7,1,"Mytilus trossulus","species","6551","Mytilus trossulus","species","6551","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",271
"DUP_10432;size=285",2,2,2.19e-30,1,1,"Placida","genus","71496","Placida sp. 1 NY-2013","species","1281821","Gastropoda",NA,"Limapontiidae","Gastropoda",NA,"Limapontiidae",285
"DUP_10449;size=394",2,2,1.71e-41,2,2,"Macoma","genus","52799","Macoma","genus","52799","Bivalvia","Veneroida","Tellinidae","Bivalvia","Veneroida","Tellinidae",394
"DUP_10473;size=448",1,1,2.87e-44,1,1,"Cancer irroratus","species","6756","Cancer irroratus","species","6756","Malacostraca","Decapoda","Cancridae","Malacostraca","Decapoda","Cancridae",448
"DUP_10514;size=333",8,6,7.99e-45,8,6,"Lottia","genus","72691","Lottia","genus","72691","Gastropoda",NA,"Lottiidae","Gastropoda",NA,"Lottiidae",333
"DUP_10618;size=294",10,2,6.1e-46,2,1,"Euphausia","genus","6818","Euphausia pacifica","species","102976","Malacostraca","Euphausiacea","Euphausiidae","Malacostraca","Euphausiacea","Euphausiidae",294
"DUP_10698;size=297",51,6,6.18e-46,12,2,"Mytilus","genus","6548","Mytilus","genus","6548","Bivalvia","Mytiloida","Mytilidae","Bivalvia","Mytiloida","Mytilidae",297
