transect,point,lon,lat,waypoint,notes
North,4000,-122.4189088,47.74005288,0149,
North,2000,-122.3984387,47.72850982,0150,
North,1000,-122.3882071,47.72273692,0151,
North,500,-122.3830921,47.71985014,0152,
North,250,-122.3805348,47.71840666,0153,
North,125,-122.3792563,47.71768489,0154,
North,75,-122.3787448,47.71739619,0155,
North,50,-122.3784891,47.71725183,0156,no sample
North,0,-122.3779777,47.71696312,0157,
Central,4000,-122.4248772,47.73409514,0158,
Central,2000,-122.4044095,47.72255208,0159,
Central,1000,-122.394179,47.71677918,0160,
Central,500,-122.3890646,47.71389239,0161,
Central,250,-122.3865076,47.71244891,0162,
Central,125,-122.3852292,47.71172715,0163,
Central,75,-122.3847178,47.71143844,0164,
Central,50,-122.3844621,47.71129409,0165,no sample
Central,0,-122.3839508,47.71100538,0166,
South,4000,-122.4302119,47.72787131,0167,
South,2000,-122.4097466,47.71632824,0168,
South,1000,-122.3995173,47.71055535,0169,
South,500,-122.3944036,47.70766856,0170,
South,250,-122.3918469,47.70622508,0171,
South,125,-122.3905686,47.70550332,0172,
South,75,-122.3900573,47.70521461,0173,
South,50,-122.3898016,47.70507025,0174,no sample
South,0,-122.3892904,47.70478154,0175,
